,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
182182,Shot Chart Detail,21500010,50,201951,Ty Lawson,1610612745,Houston Rockets,1,7,28,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,191,154,1,1,20151028,HOU,DEN
182183,Shot Chart Detail,21500010,60,201951,Ty Lawson,1610612745,Houston Rockets,1,6,33,Missed Shot,Running Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,94,70,1,0,20151028,HOU,DEN
182184,Shot Chart Detail,21500010,140,201951,Ty Lawson,1610612745,Houston Rockets,2,11,5,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-178,183,1,1,20151028,HOU,DEN
182185,Shot Chart Detail,21500010,144,201951,Ty Lawson,1610612745,Houston Rockets,2,10,23,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-34,90,1,0,20151028,HOU,DEN
182186,Shot Chart Detail,21500010,253,201951,Ty Lawson,1610612745,Houston Rockets,2,0,47,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,7,1,1,20151028,HOU,DEN
182187,Shot Chart Detail,21500010,270,201951,Ty Lawson,1610612745,Houston Rockets,3,10,43,Missed Shot,Floating Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-32,16,1,0,20151028,HOU,DEN
182188,Shot Chart Detail,21500010,279,201951,Ty Lawson,1610612745,Houston Rockets,3,9,34,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,53,160,1,0,20151028,HOU,DEN
182189,Shot Chart Detail,21500010,295,201951,Ty Lawson,1610612745,Houston Rockets,3,8,11,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-240,47,1,0,20151028,HOU,DEN
182190,Shot Chart Detail,21500010,403,201951,Ty Lawson,1610612745,Houston Rockets,4,11,4,Missed Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,87,28,1,0,20151028,HOU,DEN
182191,Shot Chart Detail,21500010,428,201951,Ty Lawson,1610612745,Houston Rockets,4,8,24,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,7,1,0,20151028,HOU,DEN
182192,Shot Chart Detail,21500030,36,201951,Ty Lawson,1610612745,Houston Rockets,1,9,8,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,60,116,1,0,20151030,HOU,GSW
182193,Shot Chart Detail,21500030,61,201951,Ty Lawson,1610612745,Houston Rockets,1,6,34,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,161,195,1,1,20151030,HOU,GSW
182194,Shot Chart Detail,21500030,135,201951,Ty Lawson,1610612745,Houston Rockets,1,1,47,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-107,120,1,0,20151030,HOU,GSW
182195,Shot Chart Detail,21500030,246,201951,Ty Lawson,1610612745,Houston Rockets,2,4,44,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,17,31,1,0,20151030,HOU,GSW
182196,Shot Chart Detail,21500030,319,201951,Ty Lawson,1610612745,Houston Rockets,3,10,28,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-129,232,1,0,20151030,HOU,GSW
182197,Shot Chart Detail,21500030,343,201951,Ty Lawson,1610612745,Houston Rockets,3,8,54,Made Shot,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,-1,1,1,20151030,HOU,GSW
182198,Shot Chart Detail,21500030,480,201951,Ty Lawson,1610612745,Houston Rockets,4,8,3,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-63,237,1,0,20151030,HOU,GSW
182199,Shot Chart Detail,21500030,485,201951,Ty Lawson,1610612745,Houston Rockets,4,7,24,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-45,21,1,0,20151030,HOU,GSW
182200,Shot Chart Detail,21500041,125,201951,Ty Lawson,1610612745,Houston Rockets,1,1,14,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-201,3,1,0,20151101,MIA,HOU
182201,Shot Chart Detail,21500041,163,201951,Ty Lawson,1610612745,Houston Rockets,2,10,35,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,38,41,1,0,20151101,MIA,HOU
182202,Shot Chart Detail,21500041,300,201951,Ty Lawson,1610612745,Houston Rockets,3,9,48,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,19,8,1,1,20151101,MIA,HOU
182203,Shot Chart Detail,21500049,30,201951,Ty Lawson,1610612745,Houston Rockets,1,8,18,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,22,195,115,1,0,20151102,HOU,OKC
182204,Shot Chart Detail,21500049,167,201951,Ty Lawson,1610612745,Houston Rockets,2,8,37,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,11,1,1,20151102,HOU,OKC
182205,Shot Chart Detail,21500049,182,201951,Ty Lawson,1610612745,Houston Rockets,2,7,8,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,42,146,1,0,20151102,HOU,OKC
182206,Shot Chart Detail,21500049,318,201951,Ty Lawson,1610612745,Houston Rockets,3,10,2,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,0,1,1,20151102,HOU,OKC
182207,Shot Chart Detail,21500049,360,201951,Ty Lawson,1610612745,Houston Rockets,3,7,8,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-24,16,1,1,20151102,HOU,OKC
182208,Shot Chart Detail,21500049,485,201951,Ty Lawson,1610612745,Houston Rockets,4,9,28,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-35,8,1,1,20151102,HOU,OKC
182209,Shot Chart Detail,21500049,492,201951,Ty Lawson,1610612745,Houston Rockets,4,8,51,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-135,223,1,0,20151102,HOU,OKC
182210,Shot Chart Detail,21500049,515,201951,Ty Lawson,1610612745,Houston Rockets,4,5,28,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,19,190,1,1,20151102,HOU,OKC
182211,Shot Chart Detail,21500049,519,201951,Ty Lawson,1610612745,Houston Rockets,4,5,2,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,209,121,1,0,20151102,HOU,OKC
182212,Shot Chart Detail,21500049,548,201951,Ty Lawson,1610612745,Houston Rockets,4,3,1,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,3,1,1,20151102,HOU,OKC
182213,Shot Chart Detail,21500064,55,201951,Ty Lawson,1610612745,Houston Rockets,1,5,28,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,117,144,1,0,20151104,HOU,ORL
182214,Shot Chart Detail,21500064,58,201951,Ty Lawson,1610612745,Houston Rockets,1,5,8,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-209,146,1,1,20151104,HOU,ORL
182215,Shot Chart Detail,21500064,146,201951,Ty Lawson,1610612745,Houston Rockets,2,10,36,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,12,141,1,1,20151104,HOU,ORL
182216,Shot Chart Detail,21500064,178,201951,Ty Lawson,1610612745,Houston Rockets,2,8,6,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-222,124,1,0,20151104,HOU,ORL
182217,Shot Chart Detail,21500064,254,201951,Ty Lawson,1610612745,Houston Rockets,2,1,38,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,45,239,1,1,20151104,HOU,ORL
182219,Shot Chart Detail,21500064,302,201951,Ty Lawson,1610612745,Houston Rockets,3,10,3,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,23,199,129,1,0,20151104,HOU,ORL
182220,Shot Chart Detail,21500064,393,201951,Ty Lawson,1610612745,Houston Rockets,3,2,13,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-42,244,1,0,20151104,HOU,ORL
182221,Shot Chart Detail,21500064,398,201951,Ty Lawson,1610612745,Houston Rockets,3,1,37,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,3,1,1,20151104,HOU,ORL
182222,Shot Chart Detail,21500064,404,201951,Ty Lawson,1610612745,Houston Rockets,3,0,38,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,189,149,1,0,20151104,HOU,ORL
182223,Shot Chart Detail,21500064,505,201951,Ty Lawson,1610612745,Houston Rockets,4,3,39,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,58,131,1,1,20151104,HOU,ORL
182224,Shot Chart Detail,21500064,522,201951,Ty Lawson,1610612745,Houston Rockets,4,2,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,31,58,311,1,0,20151104,HOU,ORL
182225,Shot Chart Detail,21500064,583,201951,Ty Lawson,1610612745,Houston Rockets,5,3,42,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,119,110,1,0,20151104,HOU,ORL
182226,Shot Chart Detail,21500064,625,201951,Ty Lawson,1610612745,Houston Rockets,5,0,7,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,150,28,1,0,20151104,HOU,ORL
182227,Shot Chart Detail,21500084,169,201951,Ty Lawson,1610612745,Houston Rockets,2,9,56,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-181,95,1,0,20151106,SAC,HOU
182228,Shot Chart Detail,21500084,224,201951,Ty Lawson,1610612745,Houston Rockets,2,5,51,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,220,100,1,1,20151106,SAC,HOU
182229,Shot Chart Detail,21500084,250,201951,Ty Lawson,1610612745,Houston Rockets,2,3,34,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,27,11,1,1,20151106,SAC,HOU
182230,Shot Chart Detail,21500084,328,201951,Ty Lawson,1610612745,Houston Rockets,3,8,31,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,25,11,1,0,20151106,SAC,HOU
182231,Shot Chart Detail,21500084,347,201951,Ty Lawson,1610612745,Houston Rockets,3,6,35,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-237,16,1,1,20151106,SAC,HOU
182232,Shot Chart Detail,21500084,354,201951,Ty Lawson,1610612745,Houston Rockets,3,5,50,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-166,193,1,1,20151106,SAC,HOU
