,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
157379,Shot Chart Detail,21500005,44,203457,Nerlens Noel,1610612755,Philadelphia 76ers,1,7,47,Missed Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,12,68,110,1,0,20151028,BOS,PHI
157380,Shot Chart Detail,21500005,66,203457,Nerlens Noel,1610612755,Philadelphia 76ers,1,5,13,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,33,0,1,1,20151028,BOS,PHI
157381,Shot Chart Detail,21500005,68,203457,Nerlens Noel,1610612755,Philadelphia 76ers,1,4,45,Made Shot,Turnaround Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,0,31,1,1,20151028,BOS,PHI
157382,Shot Chart Detail,21500005,101,203457,Nerlens Noel,1610612755,Philadelphia 76ers,1,2,54,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,62,141,1,0,20151028,BOS,PHI
157383,Shot Chart Detail,21500005,87,203457,Nerlens Noel,1610612755,Philadelphia 76ers,1,2,51,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,BOS,PHI
157384,Shot Chart Detail,21500005,104,203457,Nerlens Noel,1610612755,Philadelphia 76ers,1,2,8,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,46,159,1,0,20151028,BOS,PHI
157385,Shot Chart Detail,21500005,112,203457,Nerlens Noel,1610612755,Philadelphia 76ers,1,1,0,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,91,90,1,0,20151028,BOS,PHI
157386,Shot Chart Detail,21500005,196,203457,Nerlens Noel,1610612755,Philadelphia 76ers,2,6,18,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-55,8,1,0,20151028,BOS,PHI
157387,Shot Chart Detail,21500005,314,203457,Nerlens Noel,1610612755,Philadelphia 76ers,3,10,11,Missed Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,63,13,1,0,20151028,BOS,PHI
157388,Shot Chart Detail,21500005,437,203457,Nerlens Noel,1610612755,Philadelphia 76ers,4,11,4,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,28,144,1,1,20151028,BOS,PHI
157389,Shot Chart Detail,21500005,440,203457,Nerlens Noel,1610612755,Philadelphia 76ers,4,10,22,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,7,1,0,20151028,BOS,PHI
157390,Shot Chart Detail,21500005,498,203457,Nerlens Noel,1610612755,Philadelphia 76ers,4,5,46,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,7,1,1,20151028,BOS,PHI
157391,Shot Chart Detail,21500005,546,203457,Nerlens Noel,1610612755,Philadelphia 76ers,4,2,31,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,24,46,1,0,20151028,BOS,PHI
157392,Shot Chart Detail,21500023,35,203457,Nerlens Noel,1610612755,Philadelphia 76ers,1,9,20,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-71,11,1,0,20151030,PHI,UTA
157393,Shot Chart Detail,21500023,48,203457,Nerlens Noel,1610612755,Philadelphia 76ers,1,8,32,Missed Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,0,20151030,PHI,UTA
157394,Shot Chart Detail,21500023,132,203457,Nerlens Noel,1610612755,Philadelphia 76ers,1,1,15,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-56,21,1,0,20151030,PHI,UTA
157395,Shot Chart Detail,21500023,143,203457,Nerlens Noel,1610612755,Philadelphia 76ers,1,0,8,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-42,3,1,0,20151030,PHI,UTA
157396,Shot Chart Detail,21500023,194,203457,Nerlens Noel,1610612755,Philadelphia 76ers,2,6,55,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-76,154,1,0,20151030,PHI,UTA
157397,Shot Chart Detail,21500023,275,203457,Nerlens Noel,1610612755,Philadelphia 76ers,3,11,27,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,141,31,1,0,20151030,PHI,UTA
157398,Shot Chart Detail,21500023,368,203457,Nerlens Noel,1610612755,Philadelphia 76ers,3,3,42,Made Shot,Floating Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,22,26,1,1,20151030,PHI,UTA
157399,Shot Chart Detail,21500023,383,203457,Nerlens Noel,1610612755,Philadelphia 76ers,3,2,39,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,-1,1,1,20151030,PHI,UTA
157400,Shot Chart Detail,21500023,398,203457,Nerlens Noel,1610612755,Philadelphia 76ers,3,1,26,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-35,77,1,0,20151030,PHI,UTA
157401,Shot Chart Detail,21500023,412,203457,Nerlens Noel,1610612755,Philadelphia 76ers,3,0,2,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,11,1,0,20151030,PHI,UTA
157402,Shot Chart Detail,21500023,489,203457,Nerlens Noel,1610612755,Philadelphia 76ers,4,6,15,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,151,-19,1,0,20151030,PHI,UTA
157403,Shot Chart Detail,21500023,511,203457,Nerlens Noel,1610612755,Philadelphia 76ers,4,4,5,Missed Shot,Hook Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,89,21,1,0,20151030,PHI,UTA
157404,Shot Chart Detail,21500046,8,203457,Nerlens Noel,1610612755,Philadelphia 76ers,1,10,47,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,4,90,1,0,20151102,PHI,CLE
157405,Shot Chart Detail,21500046,72,203457,Nerlens Noel,1610612755,Philadelphia 76ers,1,6,10,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,11,1,1,20151102,PHI,CLE
157406,Shot Chart Detail,21500046,82,203457,Nerlens Noel,1610612755,Philadelphia 76ers,1,5,8,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151102,PHI,CLE
157407,Shot Chart Detail,21500046,85,203457,Nerlens Noel,1610612755,Philadelphia 76ers,1,4,36,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,0,200,1,1,20151102,PHI,CLE
157408,Shot Chart Detail,21500046,98,203457,Nerlens Noel,1610612755,Philadelphia 76ers,1,3,23,Made Shot,Reverse Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,3,1,1,20151102,PHI,CLE
157409,Shot Chart Detail,21500046,123,203457,Nerlens Noel,1610612755,Philadelphia 76ers,1,0,58,Made Shot,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-29,28,1,1,20151102,PHI,CLE
157410,Shot Chart Detail,21500046,227,203457,Nerlens Noel,1610612755,Philadelphia 76ers,2,5,42,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151102,PHI,CLE
157411,Shot Chart Detail,21500046,269,203457,Nerlens Noel,1610612755,Philadelphia 76ers,2,2,26,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,148,72,1,0,20151102,PHI,CLE
157412,Shot Chart Detail,21500046,296,203457,Nerlens Noel,1610612755,Philadelphia 76ers,2,0,2,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,-15,1,0,20151102,PHI,CLE
157413,Shot Chart Detail,21500046,325,203457,Nerlens Noel,1610612755,Philadelphia 76ers,3,9,37,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,19,-11,1,0,20151102,PHI,CLE
157414,Shot Chart Detail,21500046,367,203457,Nerlens Noel,1610612755,Philadelphia 76ers,3,5,24,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-92,139,1,0,20151102,PHI,CLE
157415,Shot Chart Detail,21500046,374,203457,Nerlens Noel,1610612755,Philadelphia 76ers,3,4,14,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-32,-1,1,1,20151102,PHI,CLE
157416,Shot Chart Detail,21500046,487,203457,Nerlens Noel,1610612755,Philadelphia 76ers,4,5,13,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-12,90,1,0,20151102,PHI,CLE
157417,Shot Chart Detail,21500065,18,203457,Nerlens Noel,1610612755,Philadelphia 76ers,1,9,51,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,2,1,1,20151104,MIL,PHI
157418,Shot Chart Detail,21500065,67,203457,Nerlens Noel,1610612755,Philadelphia 76ers,1,4,35,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-7,57,1,0,20151104,MIL,PHI
157419,Shot Chart Detail,21500065,76,203457,Nerlens Noel,1610612755,Philadelphia 76ers,1,3,52,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,0,36,1,1,20151104,MIL,PHI
157420,Shot Chart Detail,21500065,86,203457,Nerlens Noel,1610612755,Philadelphia 76ers,1,2,46,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,10,1,0,20151104,MIL,PHI
157421,Shot Chart Detail,21500065,123,203457,Nerlens Noel,1610612755,Philadelphia 76ers,1,0,0,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,2,1,1,20151104,MIL,PHI
157422,Shot Chart Detail,21500065,173,203457,Nerlens Noel,1610612755,Philadelphia 76ers,2,8,26,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-160,2,1,1,20151104,MIL,PHI
157423,Shot Chart Detail,21500065,193,203457,Nerlens Noel,1610612755,Philadelphia 76ers,2,6,10,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-92,175,1,0,20151104,MIL,PHI
157424,Shot Chart Detail,21500065,221,203457,Nerlens Noel,1610612755,Philadelphia 76ers,2,3,26,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,20,159,1,0,20151104,MIL,PHI
157425,Shot Chart Detail,21500065,234,203457,Nerlens Noel,1610612755,Philadelphia 76ers,2,2,3,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,22,26,1,0,20151104,MIL,PHI
157426,Shot Chart Detail,21500065,279,203457,Nerlens Noel,1610612755,Philadelphia 76ers,3,10,28,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-56,21,1,0,20151104,MIL,PHI
157427,Shot Chart Detail,21500065,351,203457,Nerlens Noel,1610612755,Philadelphia 76ers,3,3,32,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,-1,1,0,20151104,MIL,PHI
157428,Shot Chart Detail,21500065,425,203457,Nerlens Noel,1610612755,Philadelphia 76ers,4,10,13,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-9,-1,1,1,20151104,MIL,PHI
157429,Shot Chart Detail,21500065,483,203457,Nerlens Noel,1610612755,Philadelphia 76ers,4,4,12,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,7,1,1,20151104,MIL,PHI
157430,Shot Chart Detail,21500065,486,203457,Nerlens Noel,1610612755,Philadelphia 76ers,4,3,51,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151104,MIL,PHI
157431,Shot Chart Detail,21500065,503,203457,Nerlens Noel,1610612755,Philadelphia 76ers,4,2,29,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-24,13,1,1,20151104,MIL,PHI
157432,Shot Chart Detail,21500065,505,203457,Nerlens Noel,1610612755,Philadelphia 76ers,4,1,48,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,7,1,0,20151104,MIL,PHI
157433,Shot Chart Detail,21500078,22,203457,Nerlens Noel,1610612755,Philadelphia 76ers,1,9,48,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-35,174,1,0,20151106,CLE,PHI
157434,Shot Chart Detail,21500078,114,203457,Nerlens Noel,1610612755,Philadelphia 76ers,1,1,34,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-158,105,1,0,20151106,CLE,PHI
157435,Shot Chart Detail,21500078,120,203457,Nerlens Noel,1610612755,Philadelphia 76ers,1,1,3,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1,12,1,0,20151106,CLE,PHI
157436,Shot Chart Detail,21500078,137,203457,Nerlens Noel,1610612755,Philadelphia 76ers,1,0,3,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151106,CLE,PHI
157437,Shot Chart Detail,21500078,207,203457,Nerlens Noel,1610612755,Philadelphia 76ers,2,6,5,Made Shot,Hook Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,2,70,1,1,20151106,CLE,PHI
157438,Shot Chart Detail,21500078,219,203457,Nerlens Noel,1610612755,Philadelphia 76ers,2,5,23,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,4,52,1,1,20151106,CLE,PHI
157439,Shot Chart Detail,21500078,285,203457,Nerlens Noel,1610612755,Philadelphia 76ers,2,0,17,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151106,CLE,PHI
157440,Shot Chart Detail,21500078,292,203457,Nerlens Noel,1610612755,Philadelphia 76ers,3,11,24,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-7,82,1,0,20151106,CLE,PHI
157441,Shot Chart Detail,21500078,295,203457,Nerlens Noel,1610612755,Philadelphia 76ers,3,11,8,Missed Shot,Hook Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-135,11,1,0,20151106,CLE,PHI
157442,Shot Chart Detail,21500078,307,203457,Nerlens Noel,1610612755,Philadelphia 76ers,3,10,21,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-29,65,1,1,20151106,CLE,PHI
157443,Shot Chart Detail,21500078,331,203457,Nerlens Noel,1610612755,Philadelphia 76ers,3,7,9,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-16,51,1,1,20151106,CLE,PHI
157444,Shot Chart Detail,21500078,350,203457,Nerlens Noel,1610612755,Philadelphia 76ers,3,5,29,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-17,41,1,0,20151106,CLE,PHI
157445,Shot Chart Detail,21500078,371,203457,Nerlens Noel,1610612755,Philadelphia 76ers,3,3,48,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,20,159,1,1,20151106,CLE,PHI
157446,Shot Chart Detail,21500078,459,203457,Nerlens Noel,1610612755,Philadelphia 76ers,4,7,38,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,13,-7,139,1,0,20151106,CLE,PHI
157447,Shot Chart Detail,21500078,469,203457,Nerlens Noel,1610612755,Philadelphia 76ers,4,5,58,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-68,43,1,0,20151106,CLE,PHI
157448,Shot Chart Detail,21500078,498,203457,Nerlens Noel,1610612755,Philadelphia 76ers,4,4,13,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151106,CLE,PHI
157449,Shot Chart Detail,21500078,520,203457,Nerlens Noel,1610612755,Philadelphia 76ers,4,2,21,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,0,1,1,20151106,CLE,PHI
157450,Shot Chart Detail,21500078,533,203457,Nerlens Noel,1610612755,Philadelphia 76ers,4,0,50,Missed Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-27,16,1,0,20151106,CLE,PHI
157451,Shot Chart Detail,21500087,49,203457,Nerlens Noel,1610612755,Philadelphia 76ers,1,5,25,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,79,-5,1,1,20151107,PHI,ORL
157452,Shot Chart Detail,21500087,127,203457,Nerlens Noel,1610612755,Philadelphia 76ers,2,9,33,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-110,61,1,0,20151107,PHI,ORL
157453,Shot Chart Detail,21500087,147,203457,Nerlens Noel,1610612755,Philadelphia 76ers,2,7,24,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,2,72,1,0,20151107,PHI,ORL
157454,Shot Chart Detail,21500087,266,203457,Nerlens Noel,1610612755,Philadelphia 76ers,3,8,42,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-78,11,1,0,20151107,PHI,ORL
157455,Shot Chart Detail,21500134,3,203457,Nerlens Noel,1610612755,Philadelphia 76ers,1,11,22,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,146,7,1,1,20151113,OKC,PHI
157456,Shot Chart Detail,21500134,13,203457,Nerlens Noel,1610612755,Philadelphia 76ers,1,9,50,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,25,183,1,0,20151113,OKC,PHI
157457,Shot Chart Detail,21500134,22,203457,Nerlens Noel,1610612755,Philadelphia 76ers,1,9,2,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151113,OKC,PHI
157458,Shot Chart Detail,21500134,26,203457,Nerlens Noel,1610612755,Philadelphia 76ers,1,8,31,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,33,90,1,1,20151113,OKC,PHI
157459,Shot Chart Detail,21500134,114,203457,Nerlens Noel,1610612755,Philadelphia 76ers,2,11,45,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,2,1,0,20151113,OKC,PHI
157460,Shot Chart Detail,21500134,238,203457,Nerlens Noel,1610612755,Philadelphia 76ers,2,1,39,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-55,170,1,0,20151113,OKC,PHI
157461,Shot Chart Detail,21500134,260,203457,Nerlens Noel,1610612755,Philadelphia 76ers,2,0,37,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,7,1,0,20151113,OKC,PHI
157462,Shot Chart Detail,21500134,310,203457,Nerlens Noel,1610612755,Philadelphia 76ers,3,9,5,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,2,1,0,20151113,OKC,PHI
157463,Shot Chart Detail,21500134,387,203457,Nerlens Noel,1610612755,Philadelphia 76ers,3,3,2,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151113,OKC,PHI
157464,Shot Chart Detail,21500134,399,203457,Nerlens Noel,1610612755,Philadelphia 76ers,3,1,33,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,11,1,0,20151113,OKC,PHI
157465,Shot Chart Detail,21500134,512,203457,Nerlens Noel,1610612755,Philadelphia 76ers,4,5,54,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,11,1,0,20151113,OKC,PHI
157466,Shot Chart Detail,21500134,515,203457,Nerlens Noel,1610612755,Philadelphia 76ers,4,5,39,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,171,2,1,0,20151113,OKC,PHI
157467,Shot Chart Detail,21500142,2,203457,Nerlens Noel,1610612755,Philadelphia 76ers,1,11,35,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,3,1,1,20151114,SAS,PHI
157468,Shot Chart Detail,21500142,5,203457,Nerlens Noel,1610612755,Philadelphia 76ers,1,11,0,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,42,46,1,0,20151114,SAS,PHI
157469,Shot Chart Detail,21500142,12,203457,Nerlens Noel,1610612755,Philadelphia 76ers,1,9,48,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,127,7,1,0,20151114,SAS,PHI
157470,Shot Chart Detail,21500142,33,203457,Nerlens Noel,1610612755,Philadelphia 76ers,1,8,30,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-32,154,1,0,20151114,SAS,PHI
157471,Shot Chart Detail,21500142,97,203457,Nerlens Noel,1610612755,Philadelphia 76ers,1,3,17,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,10,55,95,1,0,20151114,SAS,PHI
157472,Shot Chart Detail,21500142,396,203457,Nerlens Noel,1610612755,Philadelphia 76ers,4,11,42,Missed Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,27,-5,1,0,20151114,SAS,PHI
157473,Shot Chart Detail,21500142,461,203457,Nerlens Noel,1610612755,Philadelphia 76ers,4,5,23,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151114,SAS,PHI
157474,Shot Chart Detail,21500142,466,203457,Nerlens Noel,1610612755,Philadelphia 76ers,4,4,27,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,0,46,1,0,20151114,SAS,PHI
157475,Shot Chart Detail,21500152,2,203457,Nerlens Noel,1610612755,Philadelphia 76ers,1,11,41,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,141,95,1,0,20151116,PHI,DAL
157476,Shot Chart Detail,21500152,30,203457,Nerlens Noel,1610612755,Philadelphia 76ers,1,8,32,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-55,-10,1,1,20151116,PHI,DAL
157477,Shot Chart Detail,21500152,169,203457,Nerlens Noel,1610612755,Philadelphia 76ers,2,9,54,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,2,183,1,0,20151116,PHI,DAL
157478,Shot Chart Detail,21500152,192,203457,Nerlens Noel,1610612755,Philadelphia 76ers,2,7,27,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151116,PHI,DAL
157479,Shot Chart Detail,21500152,229,203457,Nerlens Noel,1610612755,Philadelphia 76ers,2,5,10,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-12,21,1,1,20151116,PHI,DAL
157480,Shot Chart Detail,21500152,304,203457,Nerlens Noel,1610612755,Philadelphia 76ers,3,11,33,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-61,62,1,0,20151116,PHI,DAL
157481,Shot Chart Detail,21500152,316,203457,Nerlens Noel,1610612755,Philadelphia 76ers,3,10,25,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,11,1,0,20151116,PHI,DAL
157482,Shot Chart Detail,21500152,320,203457,Nerlens Noel,1610612755,Philadelphia 76ers,3,10,3,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-2,154,1,0,20151116,PHI,DAL
157483,Shot Chart Detail,21500152,340,203457,Nerlens Noel,1610612755,Philadelphia 76ers,3,7,17,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,18,1,1,20151116,PHI,DAL
157484,Shot Chart Detail,21500152,354,203457,Nerlens Noel,1610612755,Philadelphia 76ers,3,5,39,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,0,21,1,0,20151116,PHI,DAL
157485,Shot Chart Detail,21500152,490,203457,Nerlens Noel,1610612755,Philadelphia 76ers,4,8,7,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-37,31,1,0,20151116,PHI,DAL
157486,Shot Chart Detail,21500152,531,203457,Nerlens Noel,1610612755,Philadelphia 76ers,4,5,12,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151116,PHI,DAL
157487,Shot Chart Detail,21500167,86,203457,Nerlens Noel,1610612755,Philadelphia 76ers,1,4,5,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,22,208,1,0,20151118,PHI,IND
157488,Shot Chart Detail,21500167,93,203457,Nerlens Noel,1610612755,Philadelphia 76ers,1,3,11,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-29,7,1,1,20151118,PHI,IND
157489,Shot Chart Detail,21500167,112,203457,Nerlens Noel,1610612755,Philadelphia 76ers,1,0,33,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-47,57,1,0,20151118,PHI,IND
