,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
103428,Shot Chart Detail,21500037,410,204025,Tim Frazier,1610612757,Portland Trail Blazers,4,9,36,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,11,1,0,20151031,POR,PHX,103428
103429,Shot Chart Detail,21500147,532,204025,Tim Frazier,1610612757,Portland Trail Blazers,4,0,27,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,16,1,0,20151115,CHA,POR,103429
103430,Shot Chart Detail,21500201,209,204025,Tim Frazier,1610612757,Portland Trail Blazers,2,4,18,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,-1,1,1,20151122,LAL,POR,103430
103431,Shot Chart Detail,21500261,478,204025,Tim Frazier,1610612757,Portland Trail Blazers,3,0,21,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,130,223,1,0,20151130,LAC,POR,103431
103432,Shot Chart Detail,21500261,654,204025,Tim Frazier,1610612757,Portland Trail Blazers,4,0,58,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,119,160,1,1,20151130,LAC,POR,103432
103433,Shot Chart Detail,21500313,368,204025,Tim Frazier,1610612757,Portland Trail Blazers,4,10,43,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,-178,219,1,0,20151208,CLE,POR,103433
103434,Shot Chart Detail,21500378,497,204025,Tim Frazier,1610612757,Portland Trail Blazers,4,10,13,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,16,1,0,20151216,OKC,POR,103434
103435,Shot Chart Detail,21500378,583,204025,Tim Frazier,1610612757,Portland Trail Blazers,4,0,42,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,184,159,1,1,20151216,OKC,POR,103435
103436,Shot Chart Detail,21500378,588,204025,Tim Frazier,1610612757,Portland Trail Blazers,4,0,13,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,11,1,1,20151216,OKC,POR,103436
103437,Shot Chart Detail,21500413,14,204025,Tim Frazier,1610612757,Portland Trail Blazers,1,10,8,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,-1,1,1,20151221,ATL,POR,103437
103438,Shot Chart Detail,21500413,24,204025,Tim Frazier,1610612757,Portland Trail Blazers,1,8,56,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-174,183,1,0,20151221,ATL,POR,103438
103439,Shot Chart Detail,21500413,37,204025,Tim Frazier,1610612757,Portland Trail Blazers,1,7,54,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,43,190,1,0,20151221,ATL,POR,103439
103440,Shot Chart Detail,21500413,132,204025,Tim Frazier,1610612757,Portland Trail Blazers,1,0,1,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,2,1,0,20151221,ATL,POR,103440
103441,Shot Chart Detail,21500413,232,204025,Tim Frazier,1610612757,Portland Trail Blazers,2,2,54,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,40,174,1,0,20151221,ATL,POR,103441
103442,Shot Chart Detail,21500413,302,204025,Tim Frazier,1610612757,Portland Trail Blazers,3,9,41,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,1,85,1,0,20151221,ATL,POR,103442
103443,Shot Chart Detail,21500413,304,204025,Tim Frazier,1610612757,Portland Trail Blazers,3,9,37,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,-1,1,0,20151221,ATL,POR,103443
103444,Shot Chart Detail,21500413,311,204025,Tim Frazier,1610612757,Portland Trail Blazers,3,8,56,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,21,184,120,1,1,20151221,ATL,POR,103444
103445,Shot Chart Detail,21500413,322,204025,Tim Frazier,1610612757,Portland Trail Blazers,3,7,35,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-45,165,1,0,20151221,ATL,POR,103445
103446,Shot Chart Detail,21500413,330,204025,Tim Frazier,1610612757,Portland Trail Blazers,3,6,24,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,10,242,1,0,20151221,ATL,POR,103446
103447,Shot Chart Detail,21500413,402,204025,Tim Frazier,1610612757,Portland Trail Blazers,4,11,10,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151221,ATL,POR,103447
103448,Shot Chart Detail,21500413,411,204025,Tim Frazier,1610612757,Portland Trail Blazers,4,10,35,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-1,72,1,1,20151221,ATL,POR,103448
103449,Shot Chart Detail,21500413,447,204025,Tim Frazier,1610612757,Portland Trail Blazers,4,7,54,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-2,111,1,1,20151221,ATL,POR,103449
103450,Shot Chart Detail,21500413,484,204025,Tim Frazier,1610612757,Portland Trail Blazers,4,4,27,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-81,242,1,0,20151221,ATL,POR,103450
