,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
147736,Shot Chart Detail,21500076,164,1626162,Kelly Oubre Jr.,1610612764,Washington Wizards,2,8,28,Made Shot,Running Alley Oop Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,-5,1,1,20151106,BOS,WAS,147736
147737,Shot Chart Detail,21500076,178,1626162,Kelly Oubre Jr.,1610612764,Washington Wizards,2,7,4,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-45,26,1,0,20151106,BOS,WAS,147737
147738,Shot Chart Detail,21500076,187,1626162,Kelly Oubre Jr.,1610612764,Washington Wizards,2,5,50,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,202,164,1,0,20151106,BOS,WAS,147738
147739,Shot Chart Detail,21500076,405,1626162,Kelly Oubre Jr.,1610612764,Washington Wizards,3,0,1,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,43,1,0,20151106,BOS,WAS,147739
147740,Shot Chart Detail,21500076,422,1626162,Kelly Oubre Jr.,1610612764,Washington Wizards,4,10,31,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,6,77,1,0,20151106,BOS,WAS,147740
147741,Shot Chart Detail,21500076,517,1626162,Kelly Oubre Jr.,1610612764,Washington Wizards,4,4,4,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,8,1,1,20151106,BOS,WAS,147741
147742,Shot Chart Detail,21500076,528,1626162,Kelly Oubre Jr.,1610612764,Washington Wizards,4,3,17,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,2,1,1,20151106,BOS,WAS,147742
147743,Shot Chart Detail,21500076,557,1626162,Kelly Oubre Jr.,1610612764,Washington Wizards,4,1,24,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,168,183,1,0,20151106,BOS,WAS,147743
147744,Shot Chart Detail,21500076,579,1626162,Kelly Oubre Jr.,1610612764,Washington Wizards,4,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,127,234,1,0,20151106,BOS,WAS,147744
147745,Shot Chart Detail,21500107,131,1626162,Kelly Oubre Jr.,1610612764,Washington Wizards,2,11,48,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-104,249,1,1,20151110,WAS,OKC,147745
147746,Shot Chart Detail,21500107,156,1626162,Kelly Oubre Jr.,1610612764,Washington Wizards,2,10,5,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-119,247,1,1,20151110,WAS,OKC,147746
147747,Shot Chart Detail,21500107,396,1626162,Kelly Oubre Jr.,1610612764,Washington Wizards,3,3,22,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151110,WAS,OKC,147747
147748,Shot Chart Detail,21500107,400,1626162,Kelly Oubre Jr.,1610612764,Washington Wizards,3,2,36,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-61,249,1,0,20151110,WAS,OKC,147748
147749,Shot Chart Detail,21500107,421,1626162,Kelly Oubre Jr.,1610612764,Washington Wizards,3,0,14,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-212,175,1,0,20151110,WAS,OKC,147749
147750,Shot Chart Detail,21500107,435,1626162,Kelly Oubre Jr.,1610612764,Washington Wizards,4,11,29,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,16,1,0,20151110,WAS,OKC,147750
147751,Shot Chart Detail,21500107,456,1626162,Kelly Oubre Jr.,1610612764,Washington Wizards,4,9,30,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,122,-1,1,1,20151110,WAS,OKC,147751
147752,Shot Chart Detail,21500107,502,1626162,Kelly Oubre Jr.,1610612764,Washington Wizards,4,5,40,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,20,185,1,0,20151110,WAS,OKC,147752
147753,Shot Chart Detail,21500139,161,1626162,Kelly Oubre Jr.,1610612764,Washington Wizards,2,9,19,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,-1,1,1,20151114,WAS,ORL,147753
147754,Shot Chart Detail,21500139,419,1626162,Kelly Oubre Jr.,1610612764,Washington Wizards,4,11,32,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,189,193,1,0,20151114,WAS,ORL,147754
147755,Shot Chart Detail,21500139,429,1626162,Kelly Oubre Jr.,1610612764,Washington Wizards,4,10,25,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,-5,1,1,20151114,WAS,ORL,147755
147756,Shot Chart Detail,21500158,500,1626162,Kelly Oubre Jr.,1610612764,Washington Wizards,4,3,50,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-42,11,1,0,20151117,WAS,MIL,147756
147757,Shot Chart Detail,21500158,524,1626162,Kelly Oubre Jr.,1610612764,Washington Wizards,4,2,16,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-34,254,1,1,20151117,WAS,MIL,147757
147758,Shot Chart Detail,21500158,546,1626162,Kelly Oubre Jr.,1610612764,Washington Wizards,4,0,58,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-27,7,1,1,20151117,WAS,MIL,147758
147759,Shot Chart Detail,21500209,517,1626162,Kelly Oubre Jr.,1610612764,Washington Wizards,4,1,21,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,228,21,1,0,20151124,WAS,IND,147759
147760,Shot Chart Detail,21500229,418,1626162,Kelly Oubre Jr.,1610612764,Washington Wizards,4,10,11,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-7,244,1,0,20151127,BOS,WAS,147760
147761,Shot Chart Detail,21500229,437,1626162,Kelly Oubre Jr.,1610612764,Washington Wizards,4,8,46,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-189,174,1,0,20151127,BOS,WAS,147761
147762,Shot Chart Detail,21500229,478,1626162,Kelly Oubre Jr.,1610612764,Washington Wizards,4,5,41,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,122,214,1,0,20151127,BOS,WAS,147762
147763,Shot Chart Detail,21500229,510,1626162,Kelly Oubre Jr.,1610612764,Washington Wizards,4,3,15,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,11,1,0,20151127,BOS,WAS,147763
147764,Shot Chart Detail,21500229,514,1626162,Kelly Oubre Jr.,1610612764,Washington Wizards,4,2,44,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-50,-6,1,0,20151127,BOS,WAS,147764
147765,Shot Chart Detail,21500229,551,1626162,Kelly Oubre Jr.,1610612764,Washington Wizards,4,0,51,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,11,1,0,20151127,BOS,WAS,147765
147766,Shot Chart Detail,21500229,561,1626162,Kelly Oubre Jr.,1610612764,Washington Wizards,4,0,0,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,0,178,1,0,20151127,BOS,WAS,147766
147767,Shot Chart Detail,21500239,251,1626162,Kelly Oubre Jr.,1610612764,Washington Wizards,2,0,28,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,18,1,0,20151128,WAS,TOR,147767
147768,Shot Chart Detail,21500269,218,1626162,Kelly Oubre Jr.,1610612764,Washington Wizards,2,4,30,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,15,16,1,1,20151202,WAS,LAL,147768
147769,Shot Chart Detail,21500269,260,1626162,Kelly Oubre Jr.,1610612764,Washington Wizards,2,2,22,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-127,129,1,0,20151202,WAS,LAL,147769
147770,Shot Chart Detail,21500269,282,1626162,Kelly Oubre Jr.,1610612764,Washington Wizards,2,0,1,Missed Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,0,20151202,WAS,LAL,147770
