,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
143778,Shot Chart Detail,21500009,94,201155,Rodney Stuckey,1610612754,Indiana Pacers,1,3,35,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,11,1,1,20151028,TOR,IND,143778
143779,Shot Chart Detail,21500009,150,201155,Rodney Stuckey,1610612754,Indiana Pacers,1,0,0,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,189,13,1,0,20151028,TOR,IND,143779
143780,Shot Chart Detail,21500009,206,201155,Rodney Stuckey,1610612754,Indiana Pacers,2,7,31,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,19,7,1,1,20151028,TOR,IND,143780
143781,Shot Chart Detail,21500009,217,201155,Rodney Stuckey,1610612754,Indiana Pacers,2,6,15,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-132,146,1,0,20151028,TOR,IND,143781
143782,Shot Chart Detail,21500009,228,201155,Rodney Stuckey,1610612754,Indiana Pacers,2,5,19,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,32,183,1,0,20151028,TOR,IND,143782
143783,Shot Chart Detail,21500009,233,201155,Rodney Stuckey,1610612754,Indiana Pacers,2,4,43,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,56,144,1,1,20151028,TOR,IND,143783
143784,Shot Chart Detail,21500009,236,201155,Rodney Stuckey,1610612754,Indiana Pacers,2,4,4,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,225,11,1,0,20151028,TOR,IND,143784
143785,Shot Chart Detail,21500009,265,201155,Rodney Stuckey,1610612754,Indiana Pacers,2,1,53,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,40,139,1,0,20151028,TOR,IND,143785
143786,Shot Chart Detail,21500009,270,201155,Rodney Stuckey,1610612754,Indiana Pacers,2,1,24,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,28,11,1,1,20151028,TOR,IND,143786
143787,Shot Chart Detail,21500009,392,201155,Rodney Stuckey,1610612754,Indiana Pacers,3,1,22,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,91,38,1,0,20151028,TOR,IND,143787
143788,Shot Chart Detail,21500009,440,201155,Rodney Stuckey,1610612754,Indiana Pacers,4,10,44,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,7,1,1,20151028,TOR,IND,143788
143789,Shot Chart Detail,21500009,444,201155,Rodney Stuckey,1610612754,Indiana Pacers,4,10,8,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,173,65,1,0,20151028,TOR,IND,143789
143790,Shot Chart Detail,21500009,455,201155,Rodney Stuckey,1610612754,Indiana Pacers,4,9,7,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-158,115,1,0,20151028,TOR,IND,143790
143791,Shot Chart Detail,21500018,164,201155,Rodney Stuckey,1610612754,Indiana Pacers,2,8,50,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,7,1,1,20151029,IND,MEM,143791
143792,Shot Chart Detail,21500018,195,201155,Rodney Stuckey,1610612754,Indiana Pacers,2,6,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-22,267,1,0,20151029,IND,MEM,143792
143793,Shot Chart Detail,21500018,211,201155,Rodney Stuckey,1610612754,Indiana Pacers,2,3,51,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,-1,1,1,20151029,IND,MEM,143793
143794,Shot Chart Detail,21500018,216,201155,Rodney Stuckey,1610612754,Indiana Pacers,2,3,19,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,0,1,1,20151029,IND,MEM,143794
143795,Shot Chart Detail,21500018,351,201155,Rodney Stuckey,1610612754,Indiana Pacers,3,2,17,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-88,144,1,1,20151029,IND,MEM,143795
143796,Shot Chart Detail,21500018,385,201155,Rodney Stuckey,1610612754,Indiana Pacers,3,0,2,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,13,1,0,20151029,IND,MEM,143796
143797,Shot Chart Detail,21500033,126,201155,Rodney Stuckey,1610612754,Indiana Pacers,1,0,43,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,102,139,1,0,20151031,IND,UTA,143797
143798,Shot Chart Detail,21500033,147,201155,Rodney Stuckey,1610612754,Indiana Pacers,2,11,34,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-142,223,1,0,20151031,IND,UTA,143798
143799,Shot Chart Detail,21500033,183,201155,Rodney Stuckey,1610612754,Indiana Pacers,2,7,10,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,-5,1,0,20151031,IND,UTA,143799
143800,Shot Chart Detail,21500033,195,201155,Rodney Stuckey,1610612754,Indiana Pacers,2,6,5,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,-22,144,1,1,20151031,IND,UTA,143800
143801,Shot Chart Detail,21500033,205,201155,Rodney Stuckey,1610612754,Indiana Pacers,2,4,22,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-7,95,1,1,20151031,IND,UTA,143801
143802,Shot Chart Detail,21500033,367,201155,Rodney Stuckey,1610612754,Indiana Pacers,3,1,56,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,-1,1,0,20151031,IND,UTA,143802
