,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
118430,Shot Chart Detail,21500132,111,2550,Kirk Hinrich,1610612741,Chicago Bulls,1,0,50,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,168,92,1,1,20151113,CHI,CHA
118431,Shot Chart Detail,21500132,116,2550,Kirk Hinrich,1610612741,Chicago Bulls,1,0,17,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-202,-21,1,0,20151113,CHI,CHA
118432,Shot Chart Detail,21500132,223,2550,Kirk Hinrich,1610612741,Chicago Bulls,2,3,40,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,174,170,1,1,20151113,CHI,CHA
118433,Shot Chart Detail,21500153,97,2550,Kirk Hinrich,1610612741,Chicago Bulls,1,0,42,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,-5,1,0,20151116,CHI,IND
118434,Shot Chart Detail,21500153,110,2550,Kirk Hinrich,1610612741,Chicago Bulls,1,0,11,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-2,41,1,1,20151116,CHI,IND
118435,Shot Chart Detail,21500153,112,2550,Kirk Hinrich,1610612741,Chicago Bulls,1,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Back Court(BC),Back Court Shot,44,-192,401,1,0,20151116,CHI,IND
118436,Shot Chart Detail,21500153,259,2550,Kirk Hinrich,1610612741,Chicago Bulls,2,0,3,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,16,1,0,20151116,CHI,IND
118437,Shot Chart Detail,21500153,326,2550,Kirk Hinrich,1610612741,Chicago Bulls,3,6,49,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-166,105,1,1,20151116,CHI,IND
118438,Shot Chart Detail,21500153,535,2550,Kirk Hinrich,1610612741,Chicago Bulls,4,3,29,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,150,2,1,0,20151116,CHI,IND
118439,Shot Chart Detail,21500174,44,2550,Kirk Hinrich,1610612741,Chicago Bulls,1,5,21,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-19,3,1,1,20151118,PHX,CHI
118440,Shot Chart Detail,21500174,195,2550,Kirk Hinrich,1610612741,Chicago Bulls,2,5,8,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-97,21,1,0,20151118,PHX,CHI
118441,Shot Chart Detail,21500174,241,2550,Kirk Hinrich,1610612741,Chicago Bulls,2,0,54,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,232,0,1,1,20151118,PHX,CHI
118442,Shot Chart Detail,21500174,271,2550,Kirk Hinrich,1610612741,Chicago Bulls,3,10,28,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,-71,56,1,1,20151118,PHX,CHI
118443,Shot Chart Detail,21500174,296,2550,Kirk Hinrich,1610612741,Chicago Bulls,3,7,38,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,0,1,1,20151118,PHX,CHI
118444,Shot Chart Detail,21500174,299,2550,Kirk Hinrich,1610612741,Chicago Bulls,3,7,13,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-117,144,1,1,20151118,PHX,CHI
118445,Shot Chart Detail,21500174,483,2550,Kirk Hinrich,1610612741,Chicago Bulls,4,4,3,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-34,242,1,1,20151118,PHX,CHI
118446,Shot Chart Detail,21500187,13,2550,Kirk Hinrich,1610612741,Chicago Bulls,1,10,0,Made Shot,Running Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,163,26,1,1,20151120,GSW,CHI
118447,Shot Chart Detail,21500187,28,2550,Kirk Hinrich,1610612741,Chicago Bulls,1,8,11,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-171,183,1,0,20151120,GSW,CHI
118448,Shot Chart Detail,21500187,38,2550,Kirk Hinrich,1610612741,Chicago Bulls,1,6,45,Made Shot,Driving Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-30,36,1,1,20151120,GSW,CHI
118449,Shot Chart Detail,21500187,45,2550,Kirk Hinrich,1610612741,Chicago Bulls,1,6,13,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,232,41,1,1,20151120,GSW,CHI
