,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
63625,Shot Chart Detail,21500030,380,203949,James Michael McAdoo,1610612744,Golden State Warriors,3,4,57,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-37,16,1,0,20151030,HOU,GSW,63625
63626,Shot Chart Detail,21500030,589,203949,James Michael McAdoo,1610612744,Golden State Warriors,4,0,46,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-66,149,1,1,20151030,HOU,GSW,63626
63627,Shot Chart Detail,21500051,372,203949,James Michael McAdoo,1610612744,Golden State Warriors,3,3,26,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,2,31,1,0,20151102,GSW,MEM,63627
63628,Shot Chart Detail,21500051,383,203949,James Michael McAdoo,1610612744,Golden State Warriors,3,2,2,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151102,GSW,MEM,63628
63629,Shot Chart Detail,21500051,397,203949,James Michael McAdoo,1610612744,Golden State Warriors,3,1,21,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,7,1,1,20151102,GSW,MEM,63629
63630,Shot Chart Detail,21500051,469,203949,James Michael McAdoo,1610612744,Golden State Warriors,4,6,52,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,11,-66,95,1,1,20151102,GSW,MEM,63630
63631,Shot Chart Detail,21500051,488,203949,James Michael McAdoo,1610612744,Golden State Warriors,4,5,19,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,8,1,0,20151102,GSW,MEM,63631
63632,Shot Chart Detail,21500051,491,203949,James Michael McAdoo,1610612744,Golden State Warriors,4,4,56,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,8,1,1,20151102,GSW,MEM,63632
63633,Shot Chart Detail,21500083,150,203949,James Michael McAdoo,1610612744,Golden State Warriors,2,10,31,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,9,18,1,1,20151106,GSW,DEN,63633
63634,Shot Chart Detail,21500083,173,203949,James Michael McAdoo,1610612744,Golden State Warriors,2,8,35,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-1,41,1,0,20151106,GSW,DEN,63634
