,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
142729,Shot Chart Detail,21500006,72,201149,Joakim Noah,1610612741,Chicago Bulls,1,3,21,Missed Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,0,20151028,BKN,CHI
142730,Shot Chart Detail,21500006,95,201149,Joakim Noah,1610612741,Chicago Bulls,1,1,10,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,7,1,0,20151028,BKN,CHI
142731,Shot Chart Detail,21500006,463,201149,Joakim Noah,1610612741,Chicago Bulls,4,6,56,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-30,41,1,0,20151028,BKN,CHI
142732,Shot Chart Detail,21500025,129,201149,Joakim Noah,1610612741,Chicago Bulls,2,11,48,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,2,1,1,20151030,DET,CHI
142733,Shot Chart Detail,21500043,165,201149,Joakim Noah,1610612741,Chicago Bulls,2,8,54,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,0,1,0,20151101,CHI,ORL
142734,Shot Chart Detail,21500043,175,201149,Joakim Noah,1610612741,Chicago Bulls,2,8,11,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151101,CHI,ORL
142735,Shot Chart Detail,21500043,179,201149,Joakim Noah,1610612741,Chicago Bulls,2,7,40,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,11,1,1,20151101,CHI,ORL
142736,Shot Chart Detail,21500043,343,201149,Joakim Noah,1610612741,Chicago Bulls,3,4,16,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1,18,1,1,20151101,CHI,ORL
142737,Shot Chart Detail,21500043,447,201149,Joakim Noah,1610612741,Chicago Bulls,4,6,0,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,9,1,0,20151101,CHI,ORL
142738,Shot Chart Detail,21500043,518,201149,Joakim Noah,1610612741,Chicago Bulls,4,0,36,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,19,-1,1,0,20151101,CHI,ORL
142739,Shot Chart Detail,21500053,333,201149,Joakim Noah,1610612741,Chicago Bulls,3,1,46,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,16,1,0,20151103,CHA,CHI
142740,Shot Chart Detail,21500070,81,201149,Joakim Noah,1610612741,Chicago Bulls,1,2,12,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-3,9,1,1,20151105,CHI,OKC
142741,Shot Chart Detail,21500070,94,201149,Joakim Noah,1610612741,Chicago Bulls,1,1,23,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,11,1,0,20151105,CHI,OKC
142742,Shot Chart Detail,21500070,340,201149,Joakim Noah,1610612741,Chicago Bulls,3,3,56,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,8,1,1,20151105,CHI,OKC
142743,Shot Chart Detail,21500070,394,201149,Joakim Noah,1610612741,Chicago Bulls,4,10,45,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,46,16,1,0,20151105,CHI,OKC
142744,Shot Chart Detail,21500070,435,201149,Joakim Noah,1610612741,Chicago Bulls,4,6,46,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,16,1,0,20151105,CHI,OKC
142745,Shot Chart Detail,21500085,110,201149,Joakim Noah,1610612741,Chicago Bulls,1,1,38,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,63,-6,1,0,20151107,CHI,MIN
142746,Shot Chart Detail,21500085,210,201149,Joakim Noah,1610612741,Chicago Bulls,2,3,29,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,20,41,1,0,20151107,CHI,MIN
